Code,Consultant Name
18033,Mr Stephen Lake
18061,Mr Peter Ryan
18064,Dr David N Sutton
18066,Dr Stephen Linter
18067,Mr Tim Davidson
18091,Mr Michael J Michell
18110,Dr Thomas Neal
18117,Dr Catherine R Grebenik
18123,Dr David Lipkin
18129,Mr Kevin Wedgwood
18145,Professor Andrew Baildam
18149,Mr Lester Barr
18153,Mr Ian Marsh
18156,Mr For Tai Lam
18161,Dr Samuel Keith Strahan
18166,Professor Philip Turner
18194,Dr Martin Walshaw
18203,Mr Victor Jaffe
18212,Dr David Lowe
18232,Mr Michael Booker
18238,Dr Roger Thomas
18243,Mr Roger Atkins
18253,Professor Ramindar Dhillon
18280,Professor David Holder
18286,Dr Ghassan Khoury
18287,Professor Jonathan Ledermann
18292,Dr Andrew Raffles
18302,Dr Michael Pelly
18310,Dr Mark Signy
18329,Mr Steven Snooks
18342,Dr Robert G Glynne-Jones
18344,Professor Jonathan Cole
18348,Dr Eric Bessell
18361,Dr David Roberts
18382,Mr Adrian Ball
18396,Mr Ramasamy Jaganathan
18400,Professor Charles Mackworth-Young
18404,Dr Anne K Mier
18408,Mr Laurence Coombs
18410,Mr Timothy Goodacre
18415,Dr Anthony L Jones
18416,Dr John Hutchinson
18420,Dr Clive E Grattan
18436,Dr John Outhwaite
18439,Mr James Leggate
18451,Dr Jeewan Rawal
18456,Dr Gerrard Phillips
18459,Dr Aubrey Bristow
18479,Mr Richard Nelson
18484,Dr Karen Morton
18490,Dr Gopalakrishnan Venkat-Raman
18491,Mr Shashi Garg
18496,Dr Charles Lowdell
18499,Mr Michael Wickstead
18502,Miss Premila Kollipara
18513,Dr Anthony Ordman
18514,Mr Stephen D Blair
18526,Mr Paul Thomas
18527,Dr John Wilkins
18540,Dr Richard Levy
18545,Dr Ian Coulson
18547,Dr Nilkanth Patel
18557,Dr Frances M Dorman
18569,Mr Edward J Parnell
18572,Mr Andrew Quaile
18582,Mr Frank Smedley
18590,Mr Richard Cummins
18592,Dr Gillian L Van Hasselt
18595,Dr Edward J Kanfer
18617,Dr Shyrana A Siriwardhana
18618,Mr Martyn P L Williams
18624,Dr Larry Shall
18645,Dr Eric Rosenthal
18651,Dr Michael P Sheehy
18697,Miss Asha Senapati
18710,Dr Ian Whitcroft
18711,Professor Robert Wilson
18729,Dr Stephen Karp
18749,Dr Neil C Barnes
18757,Dr Clifford Bucknall
18759,Mr Martyn Siodlak
18760,Mr Richard J Sheridan
18771,Dr Marco Chiesa
18775,Mr Howard A Bradpiece
18792,Mr Gerard Williams
18800,Dr Anton Pozniak
18805,Mr Phillip Burgess
18819,Dr Gillian Ross
18823,Mr John Rosson
18826,Dr David Shortland
18850,Dr Michael Rowlands
18857,Mr Peter Baranyovits
18883,Mr Joseph Toner
18887,Dr Umesh Udeshi
18893,Dr Paul Hughes
18897,Dr Iain Farquhar
18912,Dr Arnold H Deering
18917,Dr David Childs
18927,Professor Jaswinder Gill
18932,Dr John Ashworth
18939,Professor Antony Narula
18947,Dr Nick Rowell
18951,Dr Nicholas G Reading
18952,Dr Peter S Norburn
18964,Mr Michael Pantelides
18977,Dr Christopher J Fisher
18987,Dr Charles Buchanan
18991,Dr Mark Harris
19020,Dr Jonathan Harris
19021,Dr Simon Ostlere
19035,Mr Neil Maclachlan
19042,Dr Philip W Bull
19046,Mr Stephen Parsons
19050,Mr Bohdan Parys
19057,Dr Angus W Hayward
19074,Dr Michael Cannell
19078,Mr Anthony Robinson
19092,Professor Margaret Hall-Craggs
19099,Mr John Rogers
19102,Dr Rex J Polson
19103,Mr Oliver Chappatte
19104,Miss Jane Olver
19109,Mr John Watkinson
19111,Dr Ian Arnold
19124,Dr Caroline M Rubin
19126,Dr Rodney Franklin
19132,Professor Nick Webborn CBE
19137,Mr Jonothan Earnshaw
19146,Professor Krishna K Sethia
19150,Ms Prudence A Evans
19154,Dr Michael Ewart
19157,Mr David Jonathan
19159,Dr Simon Allard
19162,Dr Danny Allen
19165,Dr James Maurice Gibson
19171,Dr Melanie Davies
19186,Dr Brendon Conry
19187,Dr John Hunt
19193,Dr Philip Mason
19227,Dr Peter Collins
19238,Dr Roy Holman
19260,Dr Adrian E Searle
19269,Dr Christopher Swaine
19298,Professor Jane Apperley
19311,Mr Munchi Choksey
19313,Dr Janinie Mansi
19315,Dr Peter Venn
19331,Professor Sarah O'Dwyer
19340,Dr Albert Massarano
19342,Mr David Albert
19347,Dr Paul Williams
19348,Dr Stephen Wroe
19363,Dr Claire Dearden
19368,Dr Richard Marks
19378,Mr Michael Miller
19385,Dr Stirling Pugh
19393,Dr Adrian Marcus
19395,Dr Jeremy George
19403,Dr Brendan Bracey
19416,Mr John Watson
19426,Professor Wagih El Masri
19438,Miss Jean McDonald
19439,Mr Dushyant Thakkar
19441,Dr Hardev Pall
19447,Mr Christopher A Dodd
19456,Dr Amal Youssef Beaini
19459,Dr Ganapathyagraharam Sridharan
19467,Professor Amanda Ramirez
19478,Dr Peter Prouse
19486,Dr Mark Goodfield
19509,Mr D C Simpson
19515,Mr Gamal Barsoum
19521,Mr Robert Morris
19536,Dr Michael Feher
19552,Mr Brian R P Birch Honorary Associate Professor
19555,Dr George Papasavvas
19559,Professor Gordon Ferns
19560,Professor Joanna Maria Zakrzewska
19578,Dr Gerard Browne
19579,Dr Paul Bras
19601,Mr Kevin Gangar
19610,Dr Shashank Chattree
19628,Mr Donald Sammut
19634,Professor Chitta R Chowdhury
19648,Dr Ronald Doctor
19649,Mr John Salmon
19657,Mr Tomas Rosenbaum
19686,Mr Clive Gie
19705,Dr Bruno Millet
19722,Mr Russell Macdonald
19729,Mr Graeme Mackintosh
19732,Dr Platon Razis
19736,Mr William Ledingham
19740,Dr Glenn N Russell
19742,Mr Robert Wilson
19745,Mr John Moir
19759,Professor Stephen MacKinnon
19764,Dr Jonathan Tuck
19768,Dr Elizabeth McGrady
19773,Professor Jean McEwan
19775,Dr Gordon W French
19781,Dr Alastair J Baker
19782,Mr John C Daly
19786,Dr Lawrence McAlpine
19792,Dr Kathryn Bill
19805,Dr Bill Smith
19809,Dr Duncan J MacRae
19810,Dr Susan Elizabeth Bradbury
19812,Mr Brian J Bingham
19820,Mr Hugh Grant
19844,Dr Lauchlan M Morrison
19849,Mr Paul Dewart
19866,Mr Iain Robertson
19871,Dr Kenneth Lamb
19875,Mr H Ian Sabin
19885,Dr Judith Hanslip
19888,Mr Simon Longstaff
19892,Dr Karen Watson
19897,Mr David Taggart
19898,Dr Nigel E Capps
19901,Dr Michael McNeill
19903,Dr Robert Hawthorn
19905,Dr John Logue
19906,Dr David Ritchie
19914,Dr Anne Harrison
19917,Mr Alasdair Fern
19919,Mr Lindsay Muir
19926,Mr Grahame J S Taylor
19935,Dr Colin H Young
19942,Mr Grant Fullarton
19964,Dr Thevanandham Landham
19969,Professor G J Mufti
19972,Dr James A Ahlquist
19977,Dr John Herbetko
19978,Dr Sean Elyan
19981,Mr Phillip Alderman
19984,Dr Noel J Gavin
19989,Dr Robert J Etherington
19990,Mr Richard Stephenson
19997,Dr Simon Dover
20000,Mr Duncan Learmonth
20006,Mr Stephen Vardy
20007,Dr Richard Wellings
20008,Dr Saman D Perera
20009,Dr Guy R Sissons
20011,Mr Christopher Woodhead
20013,Mr John McCormack
20015,Dr Philippa Swayne
20022,Dr Reuben Ayres
20025,Mr John P Duffy
20029,Mr Gareth Beynon
20036,Mr Robert Walters
20037,Professor Siow Ming Lee
20041,Dr Edward Douek
20043,Dr Christopher Baynes
20044,Mr Anthony Evans
20046,Dr Amolak Bansal
20048,Dr David Gertner
20055,Dr Michael Isaac
20056,Dr Paul D Jackson
20058,Mr Brian Isgar
20059,Mr Michael Kurer
20060,Mr Timothy Hillard
20061,Dr Ndubisi A Okonkwo
20062,Dr Philippa Mills
20066,Dr Stuart Marsden
20067,Professor Isaac Manyonda
20068,Dr Michael Markiewicz
20070,Dr John Miell
20073,Dr Paul Mitra
20075,Professor Paul O'Flynn
20076,Dr Stephen Parr
20080,Dr John McFadden
20083,Dr Richard Nelson
20104,Dr Joanna Sales
20115,Professor Richard Leach
20123,Mr Geoffrey Graham
20126,Mr Hiroshi Nishikawa
20128,Professor Christopher Lavy
20129,Dr David Tarver
20132,Mr John Budd
20134,Dr Anand Saggar
20156,Mr Brian Cohen
20157,Mr Robert Richards
20160,Dr Ian M Balfour-Lynn
20162,Dr Ian Ewart
20166,Dr Joanna Fairhurst
20170,Dr Martin Benson
20172,Dr Howard Gibson
20174,Dr George Bird
20175,Mr Vikram Devaraj
20176,Dr Andrew Johnson
20177,Mr James Bellringer
20182,Mr Edward Curtis
20185,Mr Nilam Shergill
20199,Dr Vijoy Chowdhury
20200,Dr Bruce McLain
20206,Mr Michael Wyatt
20214,Dr Claire F Jewkes
20216,Dr Mark R Platt
20222,Mr Jeremy Prydal
20224,Mr Paul Gurr
20227,Mr Mark Hargreaves
20240,Dr Shelley A Renowden
20241,Dr Maurice Pye
20244,Dr Ian T Davidson
20245,Dr Helen Lee
20249,Dr Robert Laing
20252,Dr Susan Laurent
20261,Mr Paul J Hainsworth
20262,Dr David Propper
20268,Dr Philip Chetcuti
20273,Dr Jonathan North
20274,Dr David A Hett
20275,Professor Justin Cobb
20278,Mr David MacDonald
20281,Dr Andrew T Cole
20292,Mr Michael Wilkinson
20295,Dr James Gildersleve
20302,Mr Ian Fearnley
20304,Mr Tariq Ismail
20309,Professor Ajay Shah
20311,Dr Virinder Sidhu
20313,Dr William L Merton
20316,Mr Timothy Hoare
20320,Mr Adrian C Thompson
20324,Professor David Murray
20325,Dr Stuart Miller
20326,Dr Rachel Phillips
20330,Professor Neil Tolley
20333,Mr Vincent L Chamary
20335,Dr Thomas Britton
20337,Dr Lorna I Kerr
20342,Dr Rita McAvinchey
20351,Dr Robin Roberts
20360,Dr Paul R Saunders
20361,Dr John Berridge
20364,Dr Rod Hughes
20367,Mr Richard Cole
20368,Mr Martin Lancashire
20370,Dr Nicholas M Tierney
20371,Mr Charles Davison
20373,Dr Uday Patel
20374,Professor Philip Hawkins
20375,Dr Patrick Goggin
20384,Dr Mark Anderson
20386,Mr Andrew J Luff
20387,Mr Cormac Kelly
20388,Mr Neil Rowson
20391,Dr Noreen Cowley
20402,Mr Huw Williams
20407,Dr Donald Montgomery
20409,Dr Alan G Stuart
20410,Mr Harishbhai Parmar
20414,Mr Tim Spalding
20416,Dr Nigel C Cowan
20417,Professor Huw J W Thomas
20418,Professor William Ayliffe
20427,Mr Eric Isbister
20429,Mr Richard Smith
20433,Professor Jayanta Barua
20435,Dr Bernadette Lavery
20440,Dr Peter Hanson
20443,Mr Omer Karim
20444,Dr Deirdre A Kelly
20446,Mr Tiew Teo
20448,Dr Michael Herbertson
20450,Dr Adrienne Flanagan
20452,Dr Barbara Rooney
20462,Mr William M Thomas
20466,Dr Mark Jackson
20468,Professor Peter Barrett-Lee
20469,Professor Michael Burch
20472,Mr John O'Dowd
20477,Mr Julian Norman-Taylor
20483,Professor David R McCance
20485,Dr Michael E Porte
20489,Mr Karl M Bell
20493,Dr Christopher Bradley
20494,Mr Kenneth Park
20497,Mr Alistair Gray
20503,Professor Philip Kalra
20509,Dr Robert J Harwood
20512,Mr Andrew Wyman
20516,Dr Melanie Hearn
20522,Dr Trevor Friedman
20534,Dr Catherine A Greville
20536,Mr Gregory Sadler
20545,Dr Calum McClymont
20547,Dr Jake Powrie
20548,Mr Laurence H Stewart
20551,Dr Madeline Sampson
20552,Dr Paul E Bailey
20553,Dr Andrew Frankel
20554,Mr Ivan Foo
20556,Professor Mark R Johnson
20558,Dr Keith Lindley
20567,Mr Simon Hodkinson
20568,Dr David Collins
20569,Professor David Veale FRCPsych
20570,Dr Leonora Fahy
20572,Mr Andrew Birzgalis
20581,Mr Neil Cripps
20582,Dr Philip Bell
20584,Mr Derek Bickerstaff
20596,Dr Paul Henry
20600,Dr Fang Y Lam
20602,Professor Stephen Kirk
20603,Mr Peter Prinsley
20609,Dr Maurice McKinney
20612,Mr Colin K Mulholland
20617,Dr Kevin Stewart
20621,Mr Derek Lang
20623,Mr Brian Leatherbarrow
20627,Dr Sunil Mehta
20631,Dr Richard Orrell
20636,Mr Ajit Sofat
20648,Professor Paul Sidhu
20651,Dr Hadi Manji
20653,Mr Jonathan Dawson
20654,Mr Niall O'Donnell
20655,Dr Stephen Robinson
20660,Mr Alexander Loh
20664,Mr Andrew Tapp
20665,Dr Kenneth Stewart
20668,Dr Timothy Jenkinson
20669,Dr Janet Ross
20670,Dr Helena Fox
20674,Dr Neil H Thomas
20676,Dr Janice Till
20679,Dr Gerard Hall
20682,Mr Simon Moyes
20684,Professor Sebastian Johnston
20685,Dr Michael Richardson
20692,Dr Michael Wee
20696,Mr William Green
20700,Dr Julia Wendon
20701,Mr Huw David
20728,Dr Nuala M Dunne
20729,Mr John Davies
20731,Mr Charles Blakeway
20738,Dr Jason Maratos
20740,Dr Paul Holder
20744,Mr Nigel Mercer
20745,Ms Veena Kaul
20749,Mr Samer Nashef
20753,Dr A J K Williams
20765,Dr Alison Jones
20784,Dr Bronwyn Hughes
20787,Professor Parviz Habibi
20790,Professor Bernard Clarke
20798,Professor Timothy Davis
20799,Dr Nigel Huggins
20830,Dr Joan Desborough
20836,Mr Ramesh Patel
20837,Dr Thomas Crake
20841,Dr William D Thompson
20844,Mr Christopher Paul Young
20846,Mr Timothy Dabbs
20849,Dr Peter McQuillan
